Ctrl1	Treat1	Ctrl2	Treat2	Ctrl3	Treat3	Ctrl4	Treat4
hsa-miR-30e-5p	601	630	1017	1087	535	483	566	634
hsa-miR-501-3p	443	605	756	1093	631	852	897	1250
hsa-miR-30a-5p	322	375	405	478	328	336	184	217
hsa-miR-125b-5p	1069	534	692	961	521	1486	423	560
hsa-let-7c-5p	1164	1445	813	1054	1043	1097	786	1089
hsa-miR-22-3p	700	1075	576	886	601	914	854	1249
hsa-miR-584-5p	601	822	896	1248	477	596	784	1071
hsa-miR-185-5p	446	571	788	976	396	410	419	519
hsa-miR-143-3p	282	455	296	482	136	226	153	240
hsa-miR-21-5p	411	528	1275	1718	141	172	467	606
hsa-miR-192-5p	481	694	670	990	537	674	410	563
hsa-miR-28-3p	679	418	890	1122	252	364	605	721
hsa-miR-142-5p	751	1256	1162	1983	494	770	289	476
hsa-miR-130b-5p	251	326	323	438	157	184	385	491
hsa-let-7d-3p	847	1068	559	754	623	738	776	995
hsa-miR-186-5p	450	506	469	506	363	323	233	259
hsa-miR-941	180	196	104	125	113	122	120	141
hsa-miR-106b-3p	422	588	642	956	326	445	277	381
hsa-miR-150-5p	816	990	484	611	522	557	434	544
hsa-miR-224-5p	622	713	354	434	99	109	258	328
hsa-miR-96-5p	631	627	405	407	743	564	321	337
hsa-miR-103a-3p	199	210	562	679	151	178	230	276
hsa-miR-181a-5p	273	333	417	535	238	271	316	407
hsa-miR-199a-3p	120	172	361	537	58	86	181	249
hsa-miR-128-3p	267	358	543	812	364	479	403	553
hsa-miR-221-3p	92	110	238	282	46	52	228	280
hsa-miR-23a-3p	276	323	381	462	116	127	244	291
hsa-miR-744-5p	135	179	267	373	51	71	385	516
hsa-miR-342-3p	508	599	353	414	353	375	335	378
hsa-miR-361-5p	142	163	213	267	75	76	198	241
hsa-miR-589-5p	216	301	225	338	164	222	200	273
hsa-miR-500a-3p	113	155	175	254	107	169	233	285
hsa-miR-151b	15	38	341	544	243	352	276	21
hsa-miR-27a-3p	147	198	202	289	54	49	120	184
hsa-miR-140-3p	104	105	210	264	64	75	145	178
hsa-miR-4732-3p	353	514	123	177	553	764	314	430
hsa-miR-409-3p	209	239	441	542	121	116	248	311
hsa-miR-16-5p	279	403	325	490	181	237	200	267
hsa-miR-139-3p	327	392	297	408	193	212	218	280
hsa-miR-26b-5p	176	262	479	683	137	182	110	158
hsa-miR-1301-3p	128	162	190	240	94	101	252	308
hsa-miR-574-5p	250	295	194	241	219	255	219	289
hsa-miR-126-5p	244	339	308	427	91	125	121	176
hsa-miR-98-5p	71	95	266	405	50	71	175	234
hsa-miR-361-3p	260	357	183	267	207	249	168	218
hsa-miR-30e-3p	127	151	262	325	56	58	114	144
hsa-miR-378a-3p	10	9	25	35	0	1	19	26
hsa-miR-2110	211	298	121	182	149	181	201	270
hsa-miR-127-3p	121	164	145	232	71	95	88	132
hsa-miR-769-5p	100	109	103	127	34	40	74	103
hsa-miR-370-3p	116	125	323	373	66	54	105	112
hsa-miR-148b-3p	81	106	144	191	32	32	68	83
hsa-miR-126-3p	135	209	137	230	37	54	58	86
hsa-miR-101-3p	109	175	183	298	133	209	77	133
hsa-miR-92a-1-5p	28	39	26	36	6	4	27	37
hsa-miR-335-3p	107	145	237	291	7	8	228	281
hsa-miR-144-3p	113	178	137	234	238	376	123	184
hsa-miR-222-5p	5	6	16	22	0	0	5	7
hsa-miR-1180-3p	40	45	21	25	75	86	52	68
hsa-miR-629-5p	184	276	115	181	185	249	0	0
hsa-miR-1271-5p	3	14	21	47	2	5	14	23
hsa-miR-877-5p	53	66	115	158	97	132	116	140
hsa-miR-30a-3p	82	114	163	214	41	43	32	42
hsa-miR-7-5p	3	5	28	42	22	20	10	10
hsa-miR-155-5p	242	265	260	299	100	89	127	142
hsa-miR-320b	19	43	99	16	146	3	239	76
hsa-miR-3615	111	144	116	162	174	229	220	291
hsa-miR-664a-5p	117	159	107	143	70	80	133	174
hsa-miR-4433b-3p	132	158	97	120	124	151	248	319
hsa-miR-150-3p	238	317	175	248	134	175	156	206
hsa-miR-671-3p	65	80	62	81	52	54	91	111
hsa-miR-654-3p	34	44	115	156	31	38	74	101
hsa-miR-425-5p	130	167	123	180	80	109	89	120
hsa-miR-628-3p	70	88	103	135	45	56	92	121
hsa-miR-221-5p	46	57	69	79	18	17	36	41
hsa-miR-24-3p	17	26	32	45	37	50	37	61
hsa-miR-4433b-5p	58	70	43	50	53	57	72	88
hsa-miR-30b-5p	73	99	151	200	38	49	50	63
hsa-miR-21-3p	34	47	66	89	9	12	80	100
hsa-miR-432-5p	52	49	88	103	42	39	146	164
hsa-miR-483-5p	78	97	57	85	68	94	40	54
hsa-miR-450b-5p	34	50	58	82	42	48	20	28
hsa-miR-340-5p	9	11	36	55	15	25	10	15
hsa-miR-7976	84	117	52	83	107	179	74	109
hsa-miR-532-5p	69	92	44	118	74	86	46	41
hsa-miR-874-3p	75	76	33	37	44	46	39	46
hsa-miR-1843	30	46	88	116	20	25	83	107
hsa-miR-181a-2-3p	106	137	104	133	35	45	52	71
hsa-miR-23b-3p	59	91	53	73	49	49	54	67
hsa-miR-486-3p	35	49	29	47	66	104	65	93
hsa-miR-374b-5p	38	46	91	116	43	52	16	25
hsa-miR-1307-3p	76	88	14	20	48	31	48	58
hsa-miR-375-3p	16	18	4	6	52	56	8	14
hsa-miR-374a-5p	45	69	46	66	30	37	20	30
hsa-miR-23b-5p	41	54	19	32	40	48	40	50
hsa-miR-330-3p	45	48	62	70	0	2	47	53
hsa-miR-4732-5p	68	70	25	35	127	120	56	73
hsa-miR-145-3p	13	22	25	41	5	10	14	24
hsa-miR-340-3p	81	95	92	115	27	29	62	73
hsa-miR-450a-5p	26	36	54	84	6	6	17	23
hsa-miR-338-5p	46	57	40	63	15	25	34	55
hsa-miR-6852-5p	41	47	34	47	4	9	78	105
hsa-miR-139-5p	69	89	78	112	35	40	22	29
hsa-miR-3177-3p	8	10	31	40	0	0	39	51
hsa-miR-502-3p	25	34	59	89	43	20	24	30
hsa-miR-148a-5p	0	0	24	32	0	0	2	3
hsa-miR-181b-5p	39	45	33	42	9	10	22	29
hsa-miR-29a-3p	23	40	43	55	11	17	28	42
hsa-miR-424-3p	36	55	40	58	18	28	39	58
hsa-miR-342-5p	52	84	31	50	23	30	42	66
hsa-miR-339-5p	38	43	45	67	13	16	26	33
hsa-miR-425-3p	29	37	38	49	4	7	38	45
hsa-miR-20a-5p	19	21	11	14	11	11	4	6
hsa-miR-15b-5p	39	63	59	88	11	17	9	13
hsa-miR-323b-3p	32	49	71	95	0	0	29	43
hsa-miR-197-3p	6	5	15	19	11	9	6	6
hsa-miR-122-5p	21	29	55	80	45	53	17	24
hsa-miR-335-5p	9	9	31	42	5	4	7	7
hsa-miR-25-5p	33	37	6	8	22	33	12	14
hsa-miR-505-3p	31	38	23	36	15	15	28	34
hsa-miR-93-5p	24	28	35	39	15	19	26	32
hsa-miR-409-5p	21	22	47	54	3	4	13	15
hsa-miR-454-5p	30	43	60	85	3	4	20	26
hsa-miR-7706	5	4	18	20	20	15	2	2
hsa-miR-10b-3p	11	21	15	22	5	11	0	0
hsa-miR-4485-3p	0	0	4	4	0	0	6	8
hsa-miR-1343-3p	5	5	9	11	6	4	9	11
hsa-miR-345-5p	13	19	24	26	18	22	22	27
hsa-miR-1294	29	43	62	87	19	23	48	64
hsa-miR-889-3p	0	0	49	75	8	7	12	16
hsa-miR-125b-2-3p	11	14	8	12	8	9	0	0
hsa-miR-136-3p	16	27	24	34	0	1	16	20
hsa-miR-493-5p	9	13	36	47	0	0	2	3
hsa-miR-550a-3-5p	23	28	15	35	0	32	21	8
hsa-miR-1285-3p	0	0	10	16	28	27	27	39
hsa-miR-382-5p	3	5	15	24	0	0	23	32
hsa-miR-1292-5p	8	6	10	13	5	6	9	11
hsa-miR-577	3	2	5	8	0	0	0	0
hsa-miR-152-3p	14	20	34	53	0	0	9	13
hsa-miR-134-5p	5	5	5	8	0	0	22	24
hsa-miR-125a-3p	30	44	9	9	5	9	23	31
hsa-miR-215-5p	0	0	12	22	17	14	3	7
hsa-miR-766-3p	12	15	10	13	6	8	20	23
hsa-miR-323a-3p	21	25	32	45	0	0	7	9
hsa-miR-30d-3p	0	0	11	17	0	0	0	0
hsa-miR-107	6	32	43	79	20	1	8	21
hsa-miR-3605-3p	7	7	18	24	52	64	30	35
hsa-miR-421	0	0	7	7	0	0	6	8
hsa-miR-942-5p	36	53	19	22	11	17	35	51
hsa-miR-3130-3p	17	26	15	26	0	0	18	23
hsa-miR-15b-3p	5	8	15	20	26	28	12	15
hsa-miR-362-5p	14	14	9	10	2	3	8	10
hsa-miR-93-3p	7	5	4	16	13	18	17	23
hsa-miR-223-3p	31	41	37	45	0	0	5	6
hsa-miR-3909	0	2	11	14	11	11	1	0
hsa-miR-204-5p	35	46	10	10	21	21	7	11
hsa-miR-4433a-3p	0	0	5	5	8	10	9	13
hsa-miR-1908-5p	15	17	13	19	7	15	4	6
hsa-miR-181c-3p	0	0	24	29	6	5	9	13
hsa-miR-550a-5p	0	0	8	3	26	0	30	69
hsa-miR-194-5p	5	4	17	19	22	24	10	13
hsa-miR-181a-3p	12	15	15	21	0	0	14	16
hsa-miR-3173-5p	0	0	3	3	14	18	4	7
hsa-miR-6734-5p	18	26	6	9	15	14	9	14
hsa-miR-654-5p	6	7	11	14	9	7	12	15
hsa-miR-548k	2	2	19	26	0	0	7	6
hsa-miR-494-3p	5	7	20	21	0	3	5	5
hsa-miR-574-3p	11	16	19	26	17	21	9	12
hsa-miR-339-3p	4	6	19	31	9	11	2	3
hsa-miR-146b-3p	5	7	14	19	15	20	18	22
hsa-miR-223-5p	7	5	17	20	4	4	6	8
hsa-miR-5187-5p	0	0	0	0	7	10	5	9
hsa-miR-26b-3p	12	11	13	18	13	16	12	17
hsa-miR-3074-5p	16	24	18	23	0	0	14	16
hsa-miR-1273h-3p	0	0	17	16	6	4	10	13
hsa-miR-4446-3p	5	8	15	24	9	12	12	16
hsa-miR-17-5p	4	4	11	14	0	0	3	1
hsa-miR-3138	0	0	14	17	9	15	4	8
hsa-miR-320d	1	1	2	2	0	0	11	16
hsa-miR-212-5p	0	0	8	12	12	10	0	0
hsa-miR-642a-3p	6	10	1	2	5	7	4	7
hsa-miR-4508	8	14	0	0	0	0	0	0
hsa-miR-329-3p	10	11	21	29	0	0	13	13
hsa-miR-2355-5p	5	4	1	2	0	0	5	5
hsa-miR-331-3p	7	10	0	0	5	7	4	4
hsa-miR-503-5p	5	8	0	0	7	12	14	17
hsa-miR-433-3p	10	13	11	17	0	0	8	11
hsa-miR-3184-3p	0	0	4	4	12	12	13	14
hsa-miR-199b-5p	13	12	5	6	0	0	3	3
hsa-miR-543	1	0	17	18	0	0	13	20
hsa-miR-331-5p	0	0	19	26	7	8	3	7
hsa-miR-625-3p	13	21	7	8	5	6	6	9
hsa-miR-1226-3p	0	0	5	6	5	5	9	9
hsa-miR-374a-3p	1	2	4	8	0	0	4	6
hsa-miR-652-3p	0	0	0	0	8	15	1	1
hsa-miR-30c-2-3p	13	16	4	6	12	18	6	9
hsa-let-7a-3p	9	10	8	10	11	12	1	1
hsa-miR-485-3p	0	0	0	0	5	8	4	5
hsa-miR-4662a-5p	9	10	17	19	3	3	5	5
hsa-miR-95-3p	10	14	17	18	5	6	4	5
hsa-miR-185-3p	2	2	6	9	8	7	0	0
hsa-miR-485-5p	6	9	3	4	0	0	12	18
hsa-miR-5189-5p	11	13	18	27	8	7	3	4
hsa-miR-4659b-3p	0	0	5	8	0	0	5	7
hsa-miR-3614-5p	7	11	3	5	0	0	0	0
hsa-miR-660-5p	4	2	7	10	0	0	2	4
hsa-miR-3120-3p	0	0	8	10	0	0	7	11
hsa-miR-1273h-5p	0	0	0	0	0	0	6	8
hsa-miR-576-5p	5	8	13	17	5	6	4	8
hsa-miR-128-1-5p	8	12	6	10	0	0	10	16
hsa-miR-144-5p	8	11	26	32	8	10	3	4
hsa-miR-4659a-3p	6	7	8	15	0	0	2	3
hsa-miR-197-5p	14	26	2	5	12	15	2	3
hsa-miR-6837-5p	8	10	1	1	7	12	7	10
hsa-miR-1299	6	9	27	31	11	11	1	2
hsa-miR-4326	0	0	3	2	0	0	7	9
hsa-let-7b-3p	11	15	2	4	10	17	6	9
hsa-miR-6721-5p	0	0	4	9	0	0	3	6
hsa-miR-191-3p	9	9	2	3	0	0	6	8
hsa-miR-605-3p	2	2	3	2	3	1	1	0
hsa-miR-1296-5p	6	7	8	12	0	0	2	2
hsa-miR-1468-5p	5	6	8	8	0	0	9	12
hsa-miR-4755-5p	5	7	0	0	11	16	0	0
hsa-miR-30c-1-3p	6	7	11	17	0	0	9	14
hsa-miR-181d-5p	0	0	4	8	0	0	1	0
hsa-miR-328-3p	3	3	0	0	0	0	5	6
hsa-miR-133a-3p	5	5	9	9	8	7	9	10
hsa-miR-3613-5p	0	0	9	12	0	0	2	4
hsa-miR-411-3p	9	9	7	8	0	0	2	3
hsa-miR-200c-3p	8	7	3	6	0	0	2	2
hsa-miR-1270	8	16	14	20	7	10	1	2
hsa-miR-3679-5p	0	0	2	4	14	17	5	8
hsa-miR-1-3p	7	12	5	8	0	0	4	5
hsa-miR-500b-3p	0	0	7	14	0	0	2	4
hsa-miR-548e-3p	3	2	4	6	6	4	3	3
hsa-miR-624-5p	0	0	0	0	0	0	5	7
hsa-miR-4755-3p	0	0	0	0	7	10	2	3
hsa-miR-1304-5p	5	14	2	3	0	0	3	5
hsa-miR-495-3p	0	0	11	14	0	0	3	4
hsa-miR-4466	15	20	3	4	7	7	5	8
hsa-miR-4286	0	0	9	15	0	0	0	0
hsa-miR-1538	0	0	10	12	0	0	6	8
hsa-miR-1306-3p	0	0	0	0	10	16	4	5
hsa-miR-320c	8	0	7	4	0	3	11	5
hsa-miR-5094	0	0	6	6	6	6	0	0
hsa-miR-10527-5p	4	4	5	4	0	0	2	3
hsa-miR-7854-3p	10	17	0	1	0	0	7	8
hsa-miR-200b-3p	0	0	4	8	0	0	3	3
hsa-miR-1224-5p	11	20	0	0	20	32	0	0
hsa-miR-3940-3p	0	0	7	10	5	3	0	0
hsa-miR-6847-5p	5	6	4	7	0	0	3	5
hsa-miR-760	0	0	7	9	0	0	1	1
hsa-miR-382-3p	0	0	4	4	0	0	2	3
hsa-miR-2277-5p	0	0	3	5	8	8	1	2
hsa-miR-4738-3p	0	0	0	0	0	0	8	11
hsa-miR-1976	0	0	1	3	12	11	2	5
hsa-miR-4467	0	0	0	0	5	11	0	0
hsa-miR-5001-3p	0	0	1	2	9	12	0	0
hsa-miR-18a-3p	4	7	10	13	7	6	2	4
hsa-miR-379-5p	0	0	5	8	0	0	0	0
hsa-miR-6866-5p	9	12	8	9	13	17	0	0
hsa-miR-6837-3p	2	4	11	12	0	0	1	0
hsa-miR-10399-5p	0	0	5	7	5	7	0	0
hsa-miR-3677-3p	0	0	2	4	0	0	8	8
hsa-miR-381-3p	0	0	7	11	10	12	0	0
hsa-miR-6780a-5p	0	0	4	7	8	12	3	3
hsa-miR-6735-5p	10	19	2	3	0	0	10	16
hsa-miR-1284	1	4	2	1	0	0	6	7
hsa-miR-6862-5p	6	10	0	2	0	0	6	9
hsa-miR-1323	3	3	3	4	0	0	0	1
hsa-miR-3143	6	8	10	18	3	4	1	4
hsa-miR-371b-5p	5	7	0	0	0	0	3	5
hsa-miR-7849-3p	0	0	2	3	6	9	2	4
hsa-miR-4742-5p	0	0	4	4	3	4	0	0
hsa-miR-3688-3p	9	15	3	4	0	0	0	1
hsa-miR-664a-3p	13	17	0	0	0	0	1	1
hsa-miR-664b-5p	11	12	0	0	0	0	0	2
hsa-miR-5189-3p	0	0	2	2	10	14	0	0
hsa-miR-758-3p	0	0	3	4	2	5	0	1
hsa-miR-6767-5p	6	7	6	11	0	0	4	5
hsa-miR-4433a-5p	4	5	0	0	0	0	2	2
hsa-miR-22-5p	0	0	1	4	0	0	4	5
hsa-miR-183-3p	0	0	0	0	8	10	0	0
hsa-miR-2115-3p	4	7	0	0	0	0	0	0
hsa-miR-193a-5p	5	5	3	3	0	0	3	3
hsa-miR-10399-3p	0	0	3	6	0	0	2	3
hsa-miR-296-3p	0	0	2	3	0	0	3	4
hsa-miR-3174	0	0	5	12	0	0	0	0
hsa-miR-26a-1-3p	0	0	5	6	0	0	2	3
hsa-miR-4665-5p	6	7	0	0	0	0	3	6
hsa-miR-4647	0	0	0	0	8	9	0	0
hsa-miR-6815-5p	0	0	0	0	8	10	3	5
hsa-miR-487b-3p	0	0	6	8	0	0	0	0
hsa-miR-363-5p	5	6	1	1	0	0	2	2
hsa-miR-3605-5p	0	0	4	5	8	8	4	4
hsa-miR-5010-5p	4	8	0	0	0	0	0	0
hsa-miR-4742-3p	0	0	3	7	0	0	2	3
hsa-miR-3127-5p	0	0	0	0	0	0	5	6
hsa-miR-6859-5p	0	0	4	6	0	0	1	2
hsa-miR-145-5p	5	4	1	1	0	0	0	0
hsa-miR-504-5p	0	0	1	3	0	0	4	6
hsa-miR-873-3p	4	5	4	6	0	0	1	2
hsa-miR-6875-5p	3	6	0	0	0	0	2	3
hsa-miR-3620-5p	0	0	4	7	0	0	0	0
hsa-miR-5683	9	9	0	0	0	0	0	0
hsa-miR-548o-3p	0	0	3	3	0	0	2	3
hsa-miR-3155a	5	5	0	0	0	0	2	3
hsa-miR-598-3p	0	0	2	5	7	11	0	0
hsa-miR-7704	5	8	0	0	6	8	2	3
hsa-miR-30b-3p	4	3	3	4	0	0	2	4
hsa-miR-4646-5p	0	0	4	8	0	0	7	7
hsa-miR-6509-5p	0	0	0	0	0	0	5	7
hsa-miR-214-3p	0	0	0	0	0	0	6	8
hsa-miR-483-3p	3	5	0	0	0	0	4	7
hsa-miR-548aa-548t-3p	0	0	0	0	8	6	0	0
hsa-miR-4800-5p	0	0	0	0	7	7	0	0
hsa-miR-548ac	0	0	0	0	0	0	5	8
hsa-miR-6511a-3p	8	12	0	0	3	6	0	0
hsa-miR-627-3p	0	0	3	3	0	0	2	4
hsa-miR-29c-5p	0	0	4	4	3	2	0	0
hsa-miR-92a-2-5p	5	8	5	5	0	0	1	3
hsa-miR-6731-5p	0	0	4	5	7	12	0	0
hsa-miR-501-5p	0	0	0	0	10	7	0	0
hsa-miR-451b	0	0	0	0	5	9	5	6
hsa-miR-24-2-5p	2	3	3	4	4	5	0	0
hsa-miR-195-5p	0	0	5	8	0	0	0	0
hsa-miR-4700-5p	0	0	0	0	0	0	8	10
hsa-miR-202-3p	0	0	7	7	0	0	2	4
hsa-miR-6892-5p	0	0	8	10	0	0	0	0
hsa-miR-6832-5p	3	4	3	6	0	0	0	0
hsa-miR-3675-5p	0	0	0	0	0	0	4	9
hsa-miR-548as-5p	0	0	0	0	6	9	0	0
hsa-miR-19b-3p	3	2	3	2	0	0	1	0
hsa-miR-526b-5p	4	3	0	0	4	2	0	0
hsa-miR-6775-3p	0	0	0	0	6	7	0	0
hsa-miR-6819-3p	7	6	0	0	0	0	0	0
hsa-miR-103a-2-5p	4	7	0	0	0	0	0	0
hsa-miR-4745-5p	5	6	0	0	0	0	0	0
